"","Estado.del.concurso","Fecha.hora.de.publicación","Cartel","Número.de.procedimiento","Número.de.SICOP","Institución","Nombre","Concurso.confidencial","Enc.Pub.Gest.Apertu","Elaborador","Enc.Solic.Est.Ofert","Registro.del.pliego.de.condiciones","Versiones.del.cartel","Versión.en.consulta","Descripción.del.procedimiento","Clasificación.del.objeto","Tipo.de.procedimiento","Tipo.de.modalidad","Tipo.de.recepción.de.ofertas","Lugar.de.apertura","Inicio.de.recepción.de.ofertas","Cierre.de.recepción.de.ofertas","Fecha.hora.de.apertura.de.ofertas","Plazo.del.acto.final","Presupuesto.total.estimado","Presupuesto.total.estimado.USD..Opcional.","Fundamento.jurídico","cant_cod"
"11","Contrato","27/07/2022 08:19","Real","2022CD-000147-0003200001","-","Municipalidad ","Carrillo","No","Fernando Antonio Acevedo Angulo","Fernando Antonio Acevedo Angulo","Fernando Antonio Acevedo Angulo","Modificar","20220703032-01","20220703032-00","Compra de plantas ornamentales para áreas verdes de la municipalidad","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","27/07/2022 08:30","28/07/2022 16:00","28/07/2022 16:01","4 Días hábiles",450000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","505"
"12","","27/07/2022 09:09","Real","2022LN-000002-0022500001","-","Municipalidad ","Guacimo","No","Zilenia Venegas Vargas","Zilenia Venegas Vargas","Zilenia Venegas Vargas","Sin efecto","20220703054-01","20220703054-00","Compra de camión recolector de residuos sólidos, municipalidad de guácimo. [Sin efecto]","Bienes","Licitación pública nacional","Cantidad definida","En línea","https://www.sicop.go.cr","01/08/2022 12:00","05/08/2022 12:00","05/08/2022 12:01","12 Días hábiles",1.2e+08,"",NA,"706"
"13","Contrato","27/07/2022 12:57","Real","2022CD-000023-0022900511","-","Municipalidad ","Hojancha","No","Wadih Mejias Espinoza","Wadih Mejias Espinoza","Wadih Mejias Espinoza","Registro","","20220703126-00","Compra de servicio de alimentacion para la municipalidad de hojancha","Bienes/servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","28/07/2022 15:30","29/07/2022 09:00","29/07/2022 10:00","5 Días hábiles",5e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","511"
"14","Desierto/Infructuoso","27/07/2022 13:49","Real","2022CD-000105-0000700001","-","Municipalidad ","Grecia","No","Jacqueline Andrea Soto Vargas","Jacqueline Andrea Soto Vargas","Jacqueline Andrea Soto Vargas","Registro","","20220703147-00","Servicio de abastecimiento por demanda de fotocopiado y empaste para la municipalidad de grecia","Bienes","Contratación directa","Según demanda","En línea","https://www.sicop.go.cr","27/07/2022 14:00","01/08/2022 11:00","01/08/2022 11:00","6 Días hábiles",5e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","203"
"15","Desierto/Infructuoso","27/07/2022 14:11","Real","2022CD-000106-0000700001","-","Municipalidad ","Grecia","No","Jacqueline Andrea Soto Vargas","Jacqueline Andrea Soto Vargas","Jacqueline Andrea Soto Vargas","Modificar","20220703152-01","20220703152-00","La municipalidad de grecia requiere la contratación de actividades artísticas para el cementerio y mercado municipal","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","27/07/2022 14:15","29/07/2022 12:00","29/07/2022 12:00","4 Días hábiles",580000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","203"
"16","Adjudicado","27/07/2022 15:27","Real","2022LA-000009-0022500001","-","Municipalidad ","Guacimo","No","Zilenia Venegas Vargas","Zilenia Venegas Vargas","Zilenia Venegas Vargas","Modificar","20220703187-01 20220703187-02","20220703187-00","Compra de camión recolector de residuos sólidos, municipalidad de guácimo.","Bienes","Licitación abreviada","Cantidad definida","En línea","https://www.sicop.go.cr","01/08/2022 12:00","10/08/2022 14:00","10/08/2022 14:01","12 Días hábiles",1.2e+08,"",NA,"706"
"17","Desierto/Infructuoso","28/07/2022 09:02","Real","2022CD-000109-0000700001","-","Municipalidad ","Grecia","No","Jacqueline Andrea Soto Vargas","Jacqueline Andrea Soto Vargas","Jacqueline Andrea Soto Vargas","Registro","","20220703237-00","La municipalidad de grecia requiere la compra de dos canoas para uso en la biblioteca publica y comedor plantel municipal","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","28/07/2022 09:15","03/08/2022 09:00","03/08/2022 09:00","6 Días hábiles",7e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","203"
"18","Contrato","28/07/2022 09:31","Real","2022CD-000045-0023700001","-","Municipalidad ","Quepos","No","Jonathan Mesén Jiménez","Jonathan Mesén Jiménez","Jonathan Mesén Jiménez","Registro","","20220703252-00","Compra de llantas para los equipos de la ugv de la municipalidad de quepos.","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","28/07/2022 10:00","01/08/2022 10:00","01/08/2022 10:05","10 Días hábiles",3122450,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","606"
"19","Contrato","28/07/2022 11:48","Real","2022CD-000148-0003200001","-","Municipalidad ","Carrillo","No","Fernando Antonio Acevedo Angulo","Fernando Antonio Acevedo Angulo","Fernando Antonio Acevedo Angulo","Registro","","20220703302-00","Compra de basureros y materiales para ubicar puntos ecológicos en los edificios de la municipalidad","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","28/07/2022 12:00","01/08/2022 09:00","01/08/2022 09:01","4 Días hábiles",1830000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","505"
"20","Contrato","28/07/2022 12:27","Real","2022CD-000005-0003700001","-","Municipalidad ","San Pablo","No","Adriana Patricia Benavides Vargas","Adriana Patricia Benavides Vargas","Adriana Patricia Benavides Vargas","Registro","","20220703331-00","Contratación para la compra equipos y maquinaria para el departamento de obras de la municipalidad de san pablo de heredia","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","28/07/2022 16:00","04/08/2022 10:00","04/08/2022 10:01","8 Días hábiles",6287347,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","409"
"21","Contrato","28/07/2022 14:48","Real","2022CD-000117-0023570101","-","Municipalidad ","Limon","No","Manfred Cook Ramirez","Manfred Cook Ramirez","Manfred Cook Ramirez","Registro","","20220703370-00","Contratacion para el diagnostico y reparación del alternador vehiculo tipo pick up marca toyota modelo hi-lux plcas sm-6336 de la municipalidad de limon","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","29/07/2022 14:00","01/08/2022 09:00","01/08/2022 10:00","10 Días naturales",170000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","701"
"22","Contrato","28/07/2022 14:57","Real","2022CD-000068-0019100001","-","Municipalidad ","Coto Brus","No","Iris de Jesus Vindas Chaves","Iris de Jesus Vindas Chaves","Iris de Jesus Vindas Chaves","Registro","","20220703291-00","Contratación por excepción de servicios profesionales en derecho para la auditoría interna de la municipalidad de coto brus.","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","29/07/2022 07:00","03/08/2022 12:00","03/08/2022 12:01","6 Días hábiles",3500000,"","Contratación directa para asesoría a auditorías internas (Artículo 2 inc. d) LCA y artículo 139 inciso p) RLCA.","608"
"23","Contrato","29/07/2022 14:45","Real","2022CD-000041-0019900214","-","Municipalidad ","Los Chiles","No","Felix Fernando Sandoval Vallecillo","Felix Fernando Sandoval Vallecillo","Felix Fernando Sandoval Vallecillo","Registro","","20220703586-00","Contratación de servicios profesionales, para la actualización del catastro municipal, municipalidad de los chiles.","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","29/07/2022 15:00","04/08/2022 09:05","04/08/2022 09:10","10 Días hábiles",6e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","214"
"24","Adjudicación en firme","29/07/2022 15:12","Real","2022CD-000106-0017500001","-","Municipalidad ","Turrialba","No","Hannia Rojas Segura","Mariela Hernández Solano","Hannia Rojas Segura","Registro","","20220703563-00","Mantenimiento de aire acondicionado auditoria interna municipalidad de turrialba","Bienes/servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","29/07/2022 15:15","08/08/2022 10:00","08/08/2022 10:01","10 Días hábiles",35000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","305"
"25","Contrato","29/07/2022 15:13","Real","2022CD-000163-0021700001","-","Municipalidad ","Heredia","No","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Registro","","20220703593-00","Compra de herramientas y articulos ferreteros para la municipalidad de heredia","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","03/08/2022 06:00","05/08/2022 09:00","05/08/2022 09:00","8 Días hábiles",2064885,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"26","Adjudicación en firme","29/07/2022 15:13","Real","2022LA-000023-0000500001","-","Municipalidad ","Alajuela","No","Marcia Picado Gonzalez","Marcia Picado Gonzalez","Marcia Picado Gonzalez","Registro","","20220703477-00","Arrendamiento de edificio para la municipalidad de alajuela","Servicios","Licitación abreviada","Servicios","En línea","https://www.sicop.go.cr","29/07/2022 15:30","12/08/2022 07:59","12/08/2022 08:00","18 Días hábiles",8.4e+07,"",NA,"201"
"27","Contrato","29/07/2022 15:31","Real","2022LA-000014-0004611901","-","Municipalidad ","Perez Zeledon","No","Julian Fallas Carvajal","Julian Fallas Carvajal","Julian Fallas Carvajal","Modificar","20220702835-01","20220702835-00","Compra de vehiculos pick up, 4x4, doble cabina para la alcaldía municipal y gestión vial de la municipalidad de pérez zeledón","Bienes","Licitación abreviada","Cantidad definida","En línea","https://www.sicop.go.cr","29/07/2022 15:40","16/08/2022 10:00","16/08/2022 10:00","10 Días hábiles",5.2e+07,"",NA,"119"
"28","Desierto/Infructuoso","01/08/2022 09:21","Real","2022CD-000113-0000700001","-","Municipalidad ","Grecia","No","Jacqueline Andrea Soto Vargas","Jacqueline Andrea Soto Vargas","Jacqueline Andrea Soto Vargas","Modificar","20220800014-01","20220800014-00","La municipalidad de grecia requiere contratación para los servicios para actividades diversas a realizar en el cementerio y el mercado municipal","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","01/08/2022 09:30","04/08/2022 08:00","04/08/2022 08:00","4 Días hábiles",675000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","203"
"29","Contrato","03/08/2022 09:17","Real","2022CD-000042-0019900214","-","Municipalidad ","Los Chiles","No","Felix Fernando Sandoval Vallecillo","Felix Fernando Sandoval Vallecillo","Felix Fernando Sandoval Vallecillo","Registro","","20220800172-00","Servicio de mantenimiento correctivo y predictivo para la flota de maquinaria marca john deere y bomag de la municipalidad de los chiles","Bienes/servicios","Contratación directa","Según demanda","En línea","https://www.sicop.go.cr","03/08/2022 10:00","08/08/2022 09:00","08/08/2022 09:05","10 Días hábiles",18840000,"","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA).","214"
"30","Adjudicación en firme","03/08/2022 10:40","Real","2022LA-000003-0024250801","-","Municipalidad ","Tilaran","No","Shirley Ramirez Méndez","Shirley Ramirez Méndez","Shirley Ramirez Méndez","Registro","","20220800120-00","Construcción iii etapa auditorio cultural de la municipalidad","Obra publica","Licitación abreviada","Cantidad definida","En línea","https://www.sicop.go.cr","04/08/2022 15:00","22/08/2022 14:00","22/08/2022 14:00","24 Días hábiles",19895212,"",NA,"508"
"31","Contrato","03/08/2022 12:00","Real","2022CD-000051-0023700001","-","Municipalidad ","Quepos","No","Jonathan Mesén Jiménez","Jonathan Mesén Jiménez","Jonathan Mesén Jiménez","Registro","","20220800248-00","Compra de tintas para la municipalidad de quepos","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","03/08/2022 12:15","05/08/2022 10:00","05/08/2022 10:05","10 Días hábiles",4e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","606"
"32","Contrato","04/08/2022 09:59","Real","2022CD-000167-0021700001","-","Municipalidad ","Heredia","No","Ericka Arguello Sanchez","Ericka Arguello Sanchez","Ericka Arguello Sanchez","Registro","","20220800377-00","Compra de diversos arboles para la municipalidad de heredia","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","05/08/2022 07:00","09/08/2022 09:00","09/08/2022 09:00","10 Días hábiles",880000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"33","Contrato","04/08/2022 12:48","Real","2022CD-000168-0021700001","-","Municipalidad ","Heredia","No","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Registro","","20220800432-00","Compra de zapatos para funcionarios de estacionamiento autorizado de la municipalidad de heredia","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","05/08/2022 06:00","09/08/2022 10:00","09/08/2022 10:00","6 Días hábiles",720000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"34","Contrato","04/08/2022 13:30","Real","2022CD-000024-0022900511","-","Municipalidad ","Hojancha","No","Wadih Mejias Espinoza","Wadih Mejias Espinoza","Wadih Mejias Espinoza","Registro","","20220702607-00","Compra productos de limpieza municipalidad de hojancha","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","09/08/2022 07:30","10/08/2022 10:00","10/08/2022 10:30","10 Días hábiles",691500,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","511"
"35","Contrato","05/08/2022 10:50","Real","2022CD-000169-0021700001","-","Municipalidad ","Heredia","No","Silvia Elena Espinoza Quesada","Silvia Elena Espinoza Quesada","Silvia Elena Espinoza Quesada","Registro","","20220800611-00","Reparación de aires acondicionados de la municipalidad de heredia","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","09/08/2022 08:00","10/08/2022 10:00","10/08/2022 10:00","6 Días hábiles",770000,"","Contratación directa para reparaciones indeterminadas (Artículo 2 inc. d) LCA y artículo 139 inciso g) RLCA.","401"
"36","Contrato","05/08/2022 13:01","Real","2022CD-000170-0021700001","-","Municipalidad ","Heredia","No","Ericka Arguello Sanchez","Ericka Arguello Sanchez","Ericka Arguello Sanchez","Registro","","20220800657-00","Servicios de impresion de calcomanias para marchamos para la municipalidad de heredia","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","05/08/2022 14:00","10/08/2022 08:00","10/08/2022 08:00","10 Días hábiles",750000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"37","Contrato","05/08/2022 15:10","Real","2022CD-000174-0024100001","-","Municipalidad ","Goicoechea","No","Ariana Melissa García Arias","Ariana Melissa García Arias","Ariana Melissa García Arias","Registro","","20220800702-00","Adquisición de aceites, grasa y coolant para uso en los vehículos municipales de la municipalidad de goicoechea","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","08/08/2022 12:00","10/08/2022 08:00","10/08/2022 08:01","10 Días hábiles",8e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","108"
"38","Contrato","05/08/2022 16:09","Real","2022CD-000171-0021700001","-","Municipalidad ","Heredia","No","Ericka Arguello Sanchez","Ericka Arguello Sanchez","Ericka Arguello Sanchez","Registro","","20220800733-00","Contratacion compra de herramientas para la municipalidad de heredia","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","08/08/2022 07:00","11/08/2022 11:00","11/08/2022 11:00","10 Días hábiles",1500000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"39","Contrato","08/08/2022 08:23","Real","2022CD-000017-0004400001","-","Municipalidad ","Golfito","No","Karen Mirelli Moya Diaz","Karen Mirelli Moya Diaz","Karen Mirelli Moya Diaz","Modificar","20220800669-01 20220800669-02","20220800669-00","Convenio de cooperación entre las municipalidades de golfito y corredores para la disposición final de residuos sólidos del cantón de golfito","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","08/08/2022 08:30","11/08/2022 16:00","11/08/2022 16:00","5 Días hábiles",3097335,"","Contratación directa de actividad contractual desarrollada entre sujetos de derecho público (Artículo 2 inc. c) LCA y artículo 138 RLCA.","607"
"40","Contrato","08/08/2022 11:59","Real","2022CD-000178-0024100001","-","Municipalidad ","Goicoechea","No","Enmanuel Chavarria Campos","Lucrecia Hernández Sanabria","Lucrecia Hernández Sanabria","Registro","","20220800756-00","Servicios secretariales ara la digitación en los sistemas contables de la municipalidad del levantamiento de inventario de bienes municipales.","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","08/08/2022 15:00","12/08/2022 07:30","12/08/2022 07:31","10 Días hábiles",1996446,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","108"
"41","Contrato","09/08/2022 15:17","Real","2022CD-000093-0003400001","-","Municipalidad ","Montes de Oca","No","Ronny Ceciliano Valverde","Ronny Ceciliano Valverde","Ronny Ceciliano Valverde","Registro","","20220801114-00","Contratación de refrigerios para eventos socioculturales de cantonato de la municipalidad de montes de oca","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","09/08/2022 15:30","10/08/2022 15:00","10/08/2022 15:00","10 Días hábiles",7e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","115"
"42","Contrato","09/08/2022 15:51","Real","2022LA-000014-0004200001","-","Municipalidad ","Buenos Aires","No","Carlos Alban Serrano Siles","Carlos Alban Serrano Siles","Carlos Alban Serrano Siles","Modificar","20220801108-01","20220801108-00","Servicios de seguridad privada para oficinas, planteles y otras propiedades de la municipalidad","Servicios","Licitación abreviada","Servicios","En línea","https://www.sicop.go.cr","09/08/2022 18:00","26/08/2022 08:00","26/08/2022 08:00","20 Días hábiles",56186730.72,"",NA,"603"
"43","Contrato","10/08/2022 09:03","Real","2022CD-000173-0021700001","-","Municipalidad ","Heredia","No","Enio Vargas Arrieta","Enio Vargas Arrieta","Enio Vargas Arrieta","Registro","","20220801176-00","Contratacion de servicios profesionales para produccion evento folclore en el centro cultural omar dengo para la municipalidad de heredia","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","17/08/2022 12:00","18/08/2022 10:00","18/08/2022 10:00","10 Días hábiles",8600000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"44","Contrato","10/08/2022 11:33","Real","2022CD-000152-0003100001","-","Municipalidad ","Puntarenas","No","Luis Edward Rojas Barrantes","Luis Edward Rojas Barrantes","Luis Edward Rojas Barrantes","Registro","","20220801187-00","Contratación de alquiler de local para ubicar el departamento de la auditoria interna de la municipalidad de puntarenas","Bienes/servicios","Contratación directa","Arrendamiento de inmuebles sin opción de compra","En línea","https://www.sicop.go.cr","10/08/2022 12:00","12/08/2022 15:00","12/08/2022 15:00","10 Días hábiles",1890000,"2.796 [USD]","Contratación directa para arrendamiento o compra de bienes únicos (Artículo 2 inc. d) LCA y artículo 139 inciso j) RLCA.","601"
"45","Contrato","10/08/2022 15:31","Real","2022CD-000019-0024250801","-","Municipalidad ","Tilaran","No","Yesenia Sibaja Alvarado","Yesenia Sibaja Alvarado","Yesenia Sibaja Alvarado","Modificar","20220801302-01","20220801302-00","Compra de uniformes para funcionarios de la municipalidad de tilarán, modalidad según demanda","Bienes","Contratación directa","Según demanda","En línea","https://www.sicop.go.cr","11/08/2022 07:00","19/08/2022 10:55","19/08/2022 11:00","10 Días hábiles",18840000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","508"
"46","Contrato","11/08/2022 10:22","Real","2022CD-000177-0021700001","-","Municipalidad ","Heredia","No","Enio Vargas Arrieta","Enio Vargas Arrieta","Enio Vargas Arrieta","Registro","","20220801406-00","Servicios profesionales para inspeccion de obras de estabilizacion del talud sobre rio pirro caso maria qualls para la municipalidad de heredia","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","16/08/2022 12:00","17/08/2022 10:00","17/08/2022 10:00","6 Días hábiles",5572800,"","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA).","401"
"47","Contrato","11/08/2022 11:41","Real","2022CD-000126-0023570101","-","Municipalidad ","Limon","No","Gary Whalon Dunn Dawkins","Gary Whalon Dunn Dawkins","Gary Whalon Dunn Dawkins","Registro","","20220801429-00","Contratacion para la reparación del vehiculo tipo pick up marca toyota modelo hi-lux plcas sm-6339 de la municipalidad de limon","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","12/08/2022 12:00","16/08/2022 12:00","16/08/2022 12:05","5 Días hábiles",1300000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","701"
