"","Funcionarios.relacionados","Estado.del.concurso","Fecha.hora.de.publicación","Cartel","Número.de.procedimiento","Número.de.SICOP","Nombre.de.la.institución","Concurso.confidencial","Encargado.de.publicación..gestión.de.objeciones.y.apertura","Elaborador","Encargado.de.solicitar.estudio.de.ofertas.recomendación.del.acto.final","Registro.del.pliego.de.condiciones","Versiones.del.cartel","Versión.en.consulta","Descripción.del.procedimiento","Clasificación.del.objeto","Tipo.de.procedimiento","Tipo.de.modalidad","Tipo.de.recepción.de.ofertas","Lugar.de.apertura","Inicio.de.recepción.de.ofertas","Cierre.de.recepción.de.ofertas","Fecha.hora.de.apertura.de.ofertas","Plazo.del.acto.final","Presupuesto.total.estimado","Presupuesto.total.estimado.USD..Opcional.","Fundamento.jurídico"
"16","Funcionarios relacionados con el concurso","Desierto/Infructuoso","27/07/2022 14:11","Real","2022CD-000106-0000700001","-","Municipalidad de Grecia","No","JACQUELINE ANDREA SOTO VARGAS","JACQUELINE ANDREA SOTO VARGAS","JACQUELINE ANDREA SOTO VARGAS","Modificar","20220703152-01","20220703152-00","La Municipalidad de Grecia requiere la contratación de actividades artísticas para el Cementerio y Mercado Municipal","SERVICIOS","CONTRATACIÓN DIRECTA","Servicios","En línea","https://www.sicop.go.cr","27/07/2022 14:15","29/07/2022 12:00","29/07/2022 12:00","4 Días hábiles","580.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"17","Funcionarios relacionados con el concurso","Adjudicado","27/07/2022 15:27","Real","2022LA-000009-0022500001","-","MUNICIPALIDAD DE GUÁCIMO","No","ZILENIA VENEGAS VARGAS","ZILENIA VENEGAS VARGAS","ZILENIA VENEGAS VARGAS","Modificar","20220703187-01 20220703187-02","20220703187-00","Compra de Camión Recolector de Residuos Sólidos, Municipalidad de Guácimo.","BIENES","LICITACIÓN ABREVIADA","Cantidad definida","En línea","https://www.sicop.go.cr","01/08/2022 12:00","10/08/2022 14:00","10/08/2022 14:01","12 Días hábiles","120.000.000 [CRC]","",NA
"18","Funcionarios relacionados con el concurso","Desierto/Infructuoso","28/07/2022 09:02","Real","2022CD-000109-0000700001","-","Municipalidad de Grecia","No","JACQUELINE ANDREA SOTO VARGAS","JACQUELINE ANDREA SOTO VARGAS","JACQUELINE ANDREA SOTO VARGAS","Registro","","20220703237-00","LA MUNICIPALIDAD DE GRECIA REQUIERE LA COMPRA DE DOS CANOAS PARA USO EN LA BIBLIOTECA PUBLICA Y COMEDOR PLANTEL MUNICIPAL","BIENES/SERVICIOS","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","28/07/2022 09:15","03/08/2022 09:00","03/08/2022 09:00","6 Días hábiles","700.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"19","Funcionarios relacionados con el concurso","Contrato","28/07/2022 09:31","Real","2022CD-000045-0023700001","-","Municipalidad de Quepos","No","Jonathan Mesén Jiménez","Jonathan Mesén Jiménez","Jonathan Mesén Jiménez","Registro","","20220703252-00","Compra de Llantas para los equipos de la UGV de la Municipalidad de Quepos.","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","28/07/2022 10:00","01/08/2022 10:00","01/08/2022 10:05","10 Días hábiles","3.122.450 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"20","Funcionarios relacionados con el concurso","Contrato","28/07/2022 11:48","Real","2022CD-000148-0003200001","-","Municipalidad de Carrillo","No","FERNANDO ANTONIO ACEVEDO ANGULO","FERNANDO ANTONIO ACEVEDO ANGULO","FERNANDO ANTONIO ACEVEDO ANGULO","Registro","","20220703302-00","Compra de basureros y materiales para ubicar Puntos Ecológicos en los Edificios de la Municipalidad","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","28/07/2022 12:00","01/08/2022 09:00","01/08/2022 09:01","4 Días hábiles","1.830.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"21","Funcionarios relacionados con el concurso","Contrato","28/07/2022 12:27","Real","2022CD-000005-0003700001","-","MUNICIPALIDAD DE SAN PABLO DE HEREDIA","No","ADRIANA PATRICIA BENAVIDES VARGAS","ADRIANA PATRICIA BENAVIDES VARGAS","ADRIANA PATRICIA BENAVIDES VARGAS","Registro","","20220703331-00","CONTRATACIÓN PARA LA COMPRA EQUIPOS Y MAQUINARIA PARA EL DEPARTAMENTO DE OBRAS DE LA MUNICIPALIDAD DE SAN PABLO DE HEREDIA","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","28/07/2022 16:00","04/08/2022 10:00","04/08/2022 10:01","8 Días hábiles","6.287.347 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"22","Funcionarios relacionados con el concurso","Contrato","28/07/2022 14:48","Real","2022CD-000117-0023570101","-","MUNICIPALIDAD DE LIMON","No","Manfred Cook Ramirez","Manfred Cook Ramirez","Manfred Cook Ramirez","Registro","","20220703370-00","CONTRATACION PARA EL DIAGNOSTICO Y REPARACIÓN DEL ALTERNADOR VEHICULO TIPO PICK UP MARCA TOYOTA MODELO HI-LUX PLCAS SM-6336 DE LA MUNICIPALIDAD DE LIMON","BIENES/SERVICIOS","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","29/07/2022 14:00","01/08/2022 09:00","01/08/2022 10:00","10 Días naturales","170.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"23","Funcionarios relacionados con el concurso","Contrato","28/07/2022 14:57","Real","2022CD-000068-0019100001","-","Municipalidad de Coto Brus","No","IRIS DE JESUS VINDAS CHAVES","IRIS DE JESUS VINDAS CHAVES","IRIS DE JESUS VINDAS CHAVES","Registro","","20220703291-00","CONTRATACIÓN POR EXCEPCIÓN DE SERVICIOS PROFESIONALES EN DERECHO PARA LA AUDITORÍA INTERNA DE LA MUNICIPALIDAD DE COTO BRUS.","SERVICIOS","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","29/07/2022 07:00","03/08/2022 12:00","03/08/2022 12:01","6 Días hábiles","3.500.000 [CRC]","","Contratación directa para asesoría a auditorías internas (Artículo 2 inc. d) LCA y artículo 139 inciso p) RLCA."
"24","Funcionarios relacionados con el concurso","Contrato","29/07/2022 14:45","Real","2022CD-000041-0019900214","-","Municipalidad de Los Chiles","No","FELIX FERNANDO SANDOVAL VALLECILLO","FELIX FERNANDO SANDOVAL VALLECILLO","FELIX FERNANDO SANDOVAL VALLECILLO","Registro","","20220703586-00","Contratación de servicios profesionales, para la actualización del catastro municipal, Municipalidad de Los Chiles.","SERVICIOS","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","29/07/2022 15:00","04/08/2022 09:05","04/08/2022 09:10","10 Días hábiles","6.000.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"25","Funcionarios relacionados con el concurso","Adjudicación en firme","29/07/2022 15:12","Real","2022CD-000106-0017500001","-","MUNICIPALIDAD DE TURRIALBA","No","Hannia Rojas Segura","Mariela Hernández Solano","Hannia Rojas Segura","Registro","","20220703563-00","Mantenimiento de Aire Acondicionado Auditoria Interna Municipalidad de Turrialba","BIENES/SERVICIOS","CONTRATACIÓN DIRECTA","Servicios","En línea","https://www.sicop.go.cr","29/07/2022 15:15","08/08/2022 10:00","08/08/2022 10:01","10 Días hábiles","35.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"26","Funcionarios relacionados con el concurso","Contrato","29/07/2022 15:13","Real","2022CD-000163-0021700001","-","Municipalidad de Heredia","No","KIMBERLYN DE LOS ANGELES VILLALOBOS DIAZ","KIMBERLYN DE LOS ANGELES VILLALOBOS DIAZ","KIMBERLYN DE LOS ANGELES VILLALOBOS DIAZ","Registro","","20220703593-00","COMPRA DE HERRAMIENTAS Y ARTICULOS FERRETEROS PARA LA MUNICIPALIDAD DE HEREDIA","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","03/08/2022 06:00","05/08/2022 09:00","05/08/2022 09:00","8 Días hábiles","2.064.885 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"27","Funcionarios relacionados con el concurso","Adjudicación en firme","29/07/2022 15:13","Real","2022LA-000023-0000500001","-","Municipalidad de Alajuela","No","MARCIA PICADO GONZALEZ","MARCIA PICADO GONZALEZ","MARCIA PICADO GONZALEZ","Registro","","20220703477-00","Arrendamiento de Edificio para la Municipalidad de Alajuela","SERVICIOS","LICITACIÓN ABREVIADA","Servicios","En línea","https://www.sicop.go.cr","29/07/2022 15:30","12/08/2022 07:59","12/08/2022 08:00","18 Días hábiles","84.000.000 [CRC]","",NA
"28","Funcionarios relacionados con el concurso","Contrato","29/07/2022 15:31","Real","2022LA-000014-0004611901","-","Municipalidad de Perez Zeledón","No","JULIAN FALLAS CARVAJAL","JULIAN FALLAS CARVAJAL","JULIAN FALLAS CARVAJAL","Modificar","20220702835-01","20220702835-00","Compra de vehiculos pick up, 4x4, doble cabina para la Alcaldía Municipal y Gestión Vial de la municipalidad de Pérez Zeledón","BIENES","LICITACIÓN ABREVIADA","Cantidad definida","En línea","https://www.sicop.go.cr","29/07/2022 15:40","16/08/2022 10:00","16/08/2022 10:00","10 Días hábiles","52.000.000 [CRC]","",NA
"29","Funcionarios relacionados con el concurso","Desierto/Infructuoso","01/08/2022 09:21","Real","2022CD-000113-0000700001","-","Municipalidad de Grecia","No","JACQUELINE ANDREA SOTO VARGAS","JACQUELINE ANDREA SOTO VARGAS","JACQUELINE ANDREA SOTO VARGAS","Modificar","20220800014-01","20220800014-00","LA MUNICIPALIDAD DE GRECIA REQUIERE CONTRATACIÓN PARA LOS SERVICIOS PARA ACTIVIDADES DIVERSAS A REALIZAR EN EL CEMENTERIO Y EL MERCADO MUNICIPAL","SERVICIOS","CONTRATACIÓN DIRECTA","Servicios","En línea","https://www.sicop.go.cr","01/08/2022 09:30","04/08/2022 08:00","04/08/2022 08:00","4 Días hábiles","675.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"30","Funcionarios relacionados con el concurso","Contrato","03/08/2022 09:17","Real","2022CD-000042-0019900214","-","Municipalidad de Los Chiles","No","FELIX FERNANDO SANDOVAL VALLECILLO","FELIX FERNANDO SANDOVAL VALLECILLO","FELIX FERNANDO SANDOVAL VALLECILLO","Registro","","20220800172-00","SERVICIO DE MANTENIMIENTO CORRECTIVO Y PREDICTIVO PARA LA FLOTA DE MAQUINARIA MARCA JOHN DEERE Y BOMAG DE LA MUNICIPALIDAD DE LOS CHILES","BIENES/SERVICIOS","CONTRATACIÓN DIRECTA","Según demanda","En línea","https://www.sicop.go.cr","03/08/2022 10:00","08/08/2022 09:00","08/08/2022 09:05","10 Días hábiles","18.840.000 [CRC]","","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA)."
"31","Funcionarios relacionados con el concurso","Adjudicación en firme","03/08/2022 10:40","Real","2022LA-000003-0024250801","-","Municipalidad de Tilarán","No","Shirley Ramirez Méndez","Shirley Ramirez Méndez","Shirley Ramirez Méndez","Registro","","20220800120-00","CONSTRUCCIÓN III ETAPA AUDITORIO CULTURAL DE LA MUNICIPALIDAD","OBRA PUBLICA","LICITACIÓN ABREVIADA","Cantidad definida","En línea","https://www.sicop.go.cr","04/08/2022 15:00","22/08/2022 14:00","22/08/2022 14:00","24 Días hábiles","19.895.212 [CRC]","",NA
"32","Funcionarios relacionados con el concurso","Contrato","03/08/2022 12:00","Real","2022CD-000051-0023700001","-","Municipalidad de Quepos","No","Jonathan Mesén Jiménez","Jonathan Mesén Jiménez","Jonathan Mesén Jiménez","Registro","","20220800248-00","COMPRA DE TINTAS PARA LA MUNICIPALIDAD DE QUEPOS","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","03/08/2022 12:15","05/08/2022 10:00","05/08/2022 10:05","10 Días hábiles","4.000.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"33","Funcionarios relacionados con el concurso","Contrato","04/08/2022 09:59","Real","2022CD-000167-0021700001","-","Municipalidad de Heredia","No","ERICKA ARGUELLO SANCHEZ","ERICKA ARGUELLO SANCHEZ","ERICKA ARGUELLO SANCHEZ","Registro","","20220800377-00","COMPRA DE DIVERSOS ARBOLES PARA LA MUNICIPALIDAD DE HEREDIA","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","05/08/2022 07:00","09/08/2022 09:00","09/08/2022 09:00","10 Días hábiles","880.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"34","Funcionarios relacionados con el concurso","Contrato","04/08/2022 12:48","Real","2022CD-000168-0021700001","-","Municipalidad de Heredia","No","KIMBERLYN DE LOS ANGELES VILLALOBOS DIAZ","KIMBERLYN DE LOS ANGELES VILLALOBOS DIAZ","KIMBERLYN DE LOS ANGELES VILLALOBOS DIAZ","Registro","","20220800432-00","COMPRA DE ZAPATOS PARA FUNCIONARIOS DE ESTACIONAMIENTO AUTORIZADO DE LA MUNICIPALIDAD DE HEREDIA","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","05/08/2022 06:00","09/08/2022 10:00","09/08/2022 10:00","6 Días hábiles","720.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"35","Funcionarios relacionados con el concurso","Contrato","04/08/2022 13:30","Real","2022CD-000024-0022900511","-","Municipalidad de Hojancha","No","WADIH MEJIAS ESPINOZA","WADIH MEJIAS ESPINOZA","WADIH MEJIAS ESPINOZA","Registro","","20220702607-00","COMPRA PRODUCTOS DE LIMPIEZA MUNICIPALIDAD DE HOJANCHA","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","09/08/2022 07:30","10/08/2022 10:00","10/08/2022 10:30","10 Días hábiles","691.500 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"36","Funcionarios relacionados con el concurso","Contrato","05/08/2022 10:50","Real","2022CD-000169-0021700001","-","Municipalidad de Heredia","No","SILVIA ELENA ESPINOZA QUESADA","SILVIA ELENA ESPINOZA QUESADA","SILVIA ELENA ESPINOZA QUESADA","Registro","","20220800611-00","REPARACIÓN DE AIRES ACONDICIONADOS DE LA MUNICIPALIDAD DE HEREDIA","SERVICIOS","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","09/08/2022 08:00","10/08/2022 10:00","10/08/2022 10:00","6 Días hábiles","770.000 [CRC]","","Contratación directa para reparaciones indeterminadas (Artículo 2 inc. d) LCA y artículo 139 inciso g) RLCA."
"37","Funcionarios relacionados con el concurso","Contrato","05/08/2022 13:01","Real","2022CD-000170-0021700001","-","Municipalidad de Heredia","No","ERICKA ARGUELLO SANCHEZ","ERICKA ARGUELLO SANCHEZ","ERICKA ARGUELLO SANCHEZ","Registro","","20220800657-00","SERVICIOS DE IMPRESION DE CALCOMANIAS PARA MARCHAMOS PARA LA MUNICIPALIDAD DE HEREDIA","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","05/08/2022 14:00","10/08/2022 08:00","10/08/2022 08:00","10 Días hábiles","750.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"38","Funcionarios relacionados con el concurso","Contrato","05/08/2022 15:10","Real","2022CD-000174-0024100001","-","MUNICIPALIDAD DE GOICOECHEA","No","Ariana Melissa García Arias","Ariana Melissa García Arias","Ariana Melissa García Arias","Registro","","20220800702-00","Adquisición de aceites, grasa y coolant para uso en los vehículos municipales de la Municipalidad de Goicoechea","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","08/08/2022 12:00","10/08/2022 08:00","10/08/2022 08:01","10 Días hábiles","8.000.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
