"","Estado.del.concurso","Fecha.hora.de.publicación","Número.de.procedimiento","Nombre","Versiones.del.cartel","Versión.en.consulta","Descripción.del.procedimiento","Clasificación.del.objeto","Tipo.de.procedimiento","Tipo.de.modalidad","Inicio.de.recepción.de.ofertas","Cierre.de.recepción.de.ofertas","Fecha.hora.de.apertura.de.ofertas","Plazo.del.acto.final","Presupuesto.total.estimado","Presupuesto.total.estimado.USD..Opcional.","Fundamento.jurídico","cant_cod"
"11","Contrato","27/07/2022 08:19","2022CD-000147-0003200001","Carrillo","20220703032-01","20220703032-00","Compra de Plantas Ornamentales para Áreas Verdes de la Municipalidad","Bienes","Contratación directa","Cantidad definida","27/07/2022 08:30","28/07/2022 16:00","28/07/2022 16:01","4 Días hábiles",450000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",505
"12","Sin definir","27/07/2022 09:09","2022LN-000002-0022500001","Guacimo","20220703054-01","20220703054-00","Compra de Camión Recolector de Residuos Sólidos, Municipalidad de Guácimo. [Sin efecto]","Bienes","Licitación pública nacional","Cantidad definida","01/08/2022 12:00","05/08/2022 12:00","05/08/2022 12:01","12 Días hábiles",1.2e+08,"",NA,706
"13","Contrato","27/07/2022 12:57","2022CD-000023-0022900511","Hojancha","","20220703126-00","Compra de Servicio de alimentacion para la Municipalidad de Hojancha","Bienes/servicios","Contratación directa","Servicios","28/07/2022 15:30","29/07/2022 09:00","29/07/2022 10:00","5 Días hábiles",5e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",511
"14","Desierto/Infructuoso","27/07/2022 13:49","2022CD-000105-0000700001","Grecia","","20220703147-00","SERVICIO DE ABASTECIMIENTO POR DEMANDA DE FOTOCOPIADO Y EMPASTE PARA LA MUNICIPALIDAD DE GRECIA","Bienes","Contratación directa","Según demanda","27/07/2022 14:00","01/08/2022 11:00","01/08/2022 11:00","6 Días hábiles",5e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",203
"15","Desierto/Infructuoso","27/07/2022 14:11","2022CD-000106-0000700001","Grecia","20220703152-01","20220703152-00","La Municipalidad de Grecia requiere la contratación de actividades artísticas para el Cementerio y Mercado Municipal","Servicios","Contratación directa","Servicios","27/07/2022 14:15","29/07/2022 12:00","29/07/2022 12:00","4 Días hábiles",580000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",203
"16","Adjudicado","27/07/2022 15:27","2022LA-000009-0022500001","Guacimo","20220703187-01 20220703187-02","20220703187-00","Compra de Camión Recolector de Residuos Sólidos, Municipalidad de Guácimo.","Bienes","Licitación abreviada","Cantidad definida","01/08/2022 12:00","10/08/2022 14:00","10/08/2022 14:01","12 Días hábiles",1.2e+08,"",NA,706
"17","Desierto/Infructuoso","28/07/2022 09:02","2022CD-000109-0000700001","Grecia","","20220703237-00","LA MUNICIPALIDAD DE GRECIA REQUIERE LA COMPRA DE DOS CANOAS PARA USO EN LA BIBLIOTECA PUBLICA Y COMEDOR PLANTEL MUNICIPAL","Bienes/servicios","Contratación directa","Cantidad definida","28/07/2022 09:15","03/08/2022 09:00","03/08/2022 09:00","6 Días hábiles",7e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",203
"18","Contrato","28/07/2022 09:31","2022CD-000045-0023700001","Quepos","","20220703252-00","Compra de Llantas para los equipos de la UGV de la Municipalidad de Quepos.","Bienes","Contratación directa","Cantidad definida","28/07/2022 10:00","01/08/2022 10:00","01/08/2022 10:05","10 Días hábiles",3122450,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",606
"19","Contrato","28/07/2022 11:48","2022CD-000148-0003200001","Carrillo","","20220703302-00","Compra de basureros y materiales para ubicar Puntos Ecológicos en los Edificios de la Municipalidad","Bienes","Contratación directa","Cantidad definida","28/07/2022 12:00","01/08/2022 09:00","01/08/2022 09:01","4 Días hábiles",1830000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",505
"20","Contrato","28/07/2022 12:27","2022CD-000005-0003700001","San Pablo","","20220703331-00","CONTRATACIÓN PARA LA COMPRA EQUIPOS Y MAQUINARIA PARA EL DEPARTAMENTO DE OBRAS DE LA MUNICIPALIDAD DE SAN PABLO DE HEREDIA","Bienes","Contratación directa","Cantidad definida","28/07/2022 16:00","04/08/2022 10:00","04/08/2022 10:01","8 Días hábiles",6287347,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",409
"21","Contrato","28/07/2022 14:48","2022CD-000117-0023570101","Limon","","20220703370-00","CONTRATACION PARA EL DIAGNOSTICO Y REPARACIÓN DEL ALTERNADOR VEHICULO TIPO PICK UP MARCA TOYOTA MODELO HI-LUX PLCAS SM-6336 DE LA MUNICIPALIDAD DE LIMON","Bienes/servicios","Contratación directa","Cantidad definida","29/07/2022 14:00","01/08/2022 09:00","01/08/2022 10:00","10 Días naturales",170000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",701
"22","Contrato","28/07/2022 14:57","2022CD-000068-0019100001","Coto Brus","","20220703291-00","CONTRATACIÓN POR EXCEPCIÓN DE SERVICIOS PROFESIONALES EN DERECHO PARA LA AUDITORÍA INTERNA DE LA MUNICIPALIDAD DE COTO BRUS.","Servicios","Contratación directa","Cantidad definida","29/07/2022 07:00","03/08/2022 12:00","03/08/2022 12:01","6 Días hábiles",3500000,"","Contratación directa para asesoría a auditorías internas (Artículo 2 inc. d) LCA y artículo 139 inciso p) RLCA.",608
"23","Contrato","29/07/2022 14:45","2022CD-000041-0019900214","Los Chiles","","20220703586-00","Contratación de servicios profesionales, para la actualización del catastro municipal, Municipalidad de Los Chiles.","Servicios","Contratación directa","Cantidad definida","29/07/2022 15:00","04/08/2022 09:05","04/08/2022 09:10","10 Días hábiles",6e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",214
"24","Adjudicación en firme","29/07/2022 15:12","2022CD-000106-0017500001","Turrialba","","20220703563-00","Mantenimiento de Aire Acondicionado Auditoria Interna Municipalidad de Turrialba","Bienes/servicios","Contratación directa","Servicios","29/07/2022 15:15","08/08/2022 10:00","08/08/2022 10:01","10 Días hábiles",35000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",305
"25","Contrato","29/07/2022 15:13","2022CD-000163-0021700001","Heredia","","20220703593-00","COMPRA DE HERRAMIENTAS Y ARTICULOS FERRETEROS PARA LA MUNICIPALIDAD DE HEREDIA","Bienes","Contratación directa","Cantidad definida","03/08/2022 06:00","05/08/2022 09:00","05/08/2022 09:00","8 Días hábiles",2064885,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",401
"26","Adjudicación en firme","29/07/2022 15:13","2022LA-000023-0000500001","Alajuela","","20220703477-00","Arrendamiento de Edificio para la Municipalidad de Alajuela","Servicios","Licitación abreviada","Servicios","29/07/2022 15:30","12/08/2022 07:59","12/08/2022 08:00","18 Días hábiles",8.4e+07,"",NA,201
"27","Contrato","29/07/2022 15:31","2022LA-000014-0004611901","Perez Zeledon","20220702835-01","20220702835-00","Compra de vehiculos pick up, 4x4, doble cabina para la Alcaldía Municipal y Gestión Vial de la municipalidad de Pérez Zeledón","Bienes","Licitación abreviada","Cantidad definida","29/07/2022 15:40","16/08/2022 10:00","16/08/2022 10:00","10 Días hábiles",5.2e+07,"",NA,119
"28","Desierto/Infructuoso","01/08/2022 09:21","2022CD-000113-0000700001","Grecia","20220800014-01","20220800014-00","LA MUNICIPALIDAD DE GRECIA REQUIERE CONTRATACIÓN PARA LOS SERVICIOS PARA ACTIVIDADES DIVERSAS A REALIZAR EN EL CEMENTERIO Y EL MERCADO MUNICIPAL","Servicios","Contratación directa","Servicios","01/08/2022 09:30","04/08/2022 08:00","04/08/2022 08:00","4 Días hábiles",675000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",203
"29","Contrato","03/08/2022 09:17","2022CD-000042-0019900214","Los Chiles","","20220800172-00","SERVICIO DE MANTENIMIENTO CORRECTIVO Y PREDICTIVO PARA LA FLOTA DE MAQUINARIA MARCA JOHN DEERE Y BOMAG DE LA MUNICIPALIDAD DE LOS CHILES","Bienes/servicios","Contratación directa","Según demanda","03/08/2022 10:00","08/08/2022 09:00","08/08/2022 09:05","10 Días hábiles",18840000,"","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA).",214
"30","Adjudicación en firme","03/08/2022 10:40","2022LA-000003-0024250801","Tilaran","","20220800120-00","CONSTRUCCIÓN III ETAPA AUDITORIO CULTURAL DE LA MUNICIPALIDAD","Obra publica","Licitación abreviada","Cantidad definida","04/08/2022 15:00","22/08/2022 14:00","22/08/2022 14:00","24 Días hábiles",19895212,"",NA,508
"31","Contrato","03/08/2022 12:00","2022CD-000051-0023700001","Quepos","","20220800248-00","COMPRA DE TINTAS PARA LA MUNICIPALIDAD DE QUEPOS","Bienes","Contratación directa","Cantidad definida","03/08/2022 12:15","05/08/2022 10:00","05/08/2022 10:05","10 Días hábiles",4e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",606
"32","Contrato","04/08/2022 09:59","2022CD-000167-0021700001","Heredia","","20220800377-00","COMPRA DE DIVERSOS ARBOLES PARA LA MUNICIPALIDAD DE HEREDIA","Bienes","Contratación directa","Cantidad definida","05/08/2022 07:00","09/08/2022 09:00","09/08/2022 09:00","10 Días hábiles",880000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",401
"33","Contrato","04/08/2022 12:48","2022CD-000168-0021700001","Heredia","","20220800432-00","COMPRA DE ZAPATOS PARA FUNCIONARIOS DE ESTACIONAMIENTO AUTORIZADO DE LA MUNICIPALIDAD DE HEREDIA","Bienes","Contratación directa","Cantidad definida","05/08/2022 06:00","09/08/2022 10:00","09/08/2022 10:00","6 Días hábiles",720000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",401
"34","Contrato","04/08/2022 13:30","2022CD-000024-0022900511","Hojancha","","20220702607-00","COMPRA PRODUCTOS DE LIMPIEZA MUNICIPALIDAD DE HOJANCHA","Bienes","Contratación directa","Cantidad definida","09/08/2022 07:30","10/08/2022 10:00","10/08/2022 10:30","10 Días hábiles",691500,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",511
"35","Contrato","05/08/2022 10:50","2022CD-000169-0021700001","Heredia","","20220800611-00","REPARACIÓN DE AIRES ACONDICIONADOS DE LA MUNICIPALIDAD DE HEREDIA","Servicios","Contratación directa","Cantidad definida","09/08/2022 08:00","10/08/2022 10:00","10/08/2022 10:00","6 Días hábiles",770000,"","Contratación directa para reparaciones indeterminadas (Artículo 2 inc. d) LCA y artículo 139 inciso g) RLCA.",401
"36","Contrato","05/08/2022 13:01","2022CD-000170-0021700001","Heredia","","20220800657-00","SERVICIOS DE IMPRESION DE CALCOMANIAS PARA MARCHAMOS PARA LA MUNICIPALIDAD DE HEREDIA","Bienes","Contratación directa","Cantidad definida","05/08/2022 14:00","10/08/2022 08:00","10/08/2022 08:00","10 Días hábiles",750000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",401
"37","Contrato","05/08/2022 15:10","2022CD-000174-0024100001","Goicoechea","","20220800702-00","Adquisición de aceites, grasa y coolant para uso en los vehículos municipales de la Municipalidad de Goicoechea","Bienes","Contratación directa","Cantidad definida","08/08/2022 12:00","10/08/2022 08:00","10/08/2022 08:01","10 Días hábiles",8e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",108
"38","Contrato","05/08/2022 16:09","2022CD-000171-0021700001","Heredia","","20220800733-00","CONTRATACION COMPRA DE HERRAMIENTAS PARA LA MUNICIPALIDAD DE HEREDIA","Bienes","Contratación directa","Cantidad definida","08/08/2022 07:00","11/08/2022 11:00","11/08/2022 11:00","10 Días hábiles",1500000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",401
"39","Contrato","08/08/2022 08:23","2022CD-000017-0004400001","Golfito","20220800669-01 20220800669-02","20220800669-00","Convenio de Cooperación entre las Municipalidades de Golfito y Corredores para la disposición final de residuos sólidos del cantón de Golfito","Servicios","Contratación directa","Cantidad definida","08/08/2022 08:30","11/08/2022 16:00","11/08/2022 16:00","5 Días hábiles",3097335,"","Contratación directa de actividad contractual desarrollada entre sujetos de derecho público (Artículo 2 inc. c) LCA y artículo 138 RLCA.",607
"40","Contrato","08/08/2022 11:59","2022CD-000178-0024100001","Goicoechea","","20220800756-00","Servicios secretariales ara la digitación en los sistemas contables de la Municipalidad del Levantamiento de inventario de bienes municipales.","Servicios","Contratación directa","Servicios","08/08/2022 15:00","12/08/2022 07:30","12/08/2022 07:31","10 Días hábiles",1996446,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",108
"41","Contrato","09/08/2022 15:17","2022CD-000093-0003400001","Montes de Oca","","20220801114-00","CONTRATACIÓN DE REFRIGERIOS PARA EVENTOS SOCIOCULTURALES DE CANTONATO DE LA MUNICIPALIDAD DE MONTES DE OCA","Servicios","Contratación directa","Cantidad definida","09/08/2022 15:30","10/08/2022 15:00","10/08/2022 15:00","10 Días hábiles",7e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",115
"42","Contrato","09/08/2022 15:51","2022LA-000014-0004200001","Buenos Aires","20220801108-01","20220801108-00","Servicios de seguridad privada para oficinas, planteles y otras propiedades de la Municipalidad","Servicios","Licitación abreviada","Servicios","09/08/2022 18:00","26/08/2022 08:00","26/08/2022 08:00","20 Días hábiles",56186730.72,"",NA,603
"43","Contrato","10/08/2022 09:03","2022CD-000173-0021700001","Heredia","","20220801176-00","CONTRATACION DE SERVICIOS PROFESIONALES PARA PRODUCCION EVENTO FOLCLORE EN EL CENTRO CULTURAL OMAR DENGO PARA LA MUNICIPALIDAD DE HEREDIA","Servicios","Contratación directa","Servicios","17/08/2022 12:00","18/08/2022 10:00","18/08/2022 10:00","10 Días hábiles",8600000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",401
"44","Contrato","10/08/2022 11:33","2022CD-000152-0003100001","Puntarenas","","20220801187-00","CONTRATACIÓN DE ALQUILER DE LOCAL PARA UBICAR EL DEPARTAMENTO DE LA AUDITORIA INTERNA DE LA MUNICIPALIDAD DE PUNTARENAS","Bienes/servicios","Contratación directa","Arrendamiento de inmuebles sin opción de compra","10/08/2022 12:00","12/08/2022 15:00","12/08/2022 15:00","10 Días hábiles",1890000,"2.796 [USD]","Contratación directa para arrendamiento o compra de bienes únicos (Artículo 2 inc. d) LCA y artículo 139 inciso j) RLCA.",601
"45","Contrato","10/08/2022 15:31","2022CD-000019-0024250801","Tilaran","20220801302-01","20220801302-00","Compra de uniformes para funcionarios de la Municipalidad de Tilarán, modalidad según demanda","Bienes","Contratación directa","Según demanda","11/08/2022 07:00","19/08/2022 10:55","19/08/2022 11:00","10 Días hábiles",18840000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",508
"46","Contrato","11/08/2022 10:22","2022CD-000177-0021700001","Heredia","","20220801406-00","SERVICIOS PROFESIONALES PARA INSPECCION DE OBRAS DE ESTABILIZACION DEL TALUD SOBRE RIO PIRRO CASO MARIA QUALLS PARA LA MUNICIPALIDAD DE HEREDIA","Servicios","Contratación directa","Servicios","16/08/2022 12:00","17/08/2022 10:00","17/08/2022 10:00","6 Días hábiles",5572800,"","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA).",401
"47","Contrato","11/08/2022 11:41","2022CD-000126-0023570101","Limon","","20220801429-00","CONTRATACION PARA LA REPARACIÓN DEL VEHICULO TIPO PICK UP MARCA TOYOTA MODELO HI-LUX PLCAS SM-6339 DE LA MUNICIPALIDAD DE LIMON","Bienes/servicios","Contratación directa","Cantidad definida","12/08/2022 12:00","16/08/2022 12:00","16/08/2022 12:05","5 Días hábiles",1300000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",701
"48","Contrato","11/08/2022 12:27","2022CD-000157-0003200001","Carrillo","","20220801460-00","Refrigeradora para el Comedor Institucional de la Municipalidad","Bienes","Contratación directa","Cantidad definida","11/08/2022 13:00","16/08/2022 12:00","16/08/2022 12:01","5 Días hábiles",6e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",505
"49","Contrato","11/08/2022 13:55","2022CD-000030-0022900511","Hojancha","","20220801469-00","Compra de servicio de soporte técnico para el Sistema Administrativo Financiero Tributario SIAFT de la Municipalidad de Hojancha","Bienes/servicios","Contratación especial","Sin definir","12/08/2022 07:30","16/08/2022 09:00","16/08/2022 10:00","5 Días hábiles",1500000,"","Artículo 139.-Objetos de naturaleza o circunstancia concurrente incompatibles con el concurso. a) Oferente único",511
"50","Contrato","11/08/2022 14:10","2022CD-000112-0017500001","Turrialba","","20220801459-00","Adquisición de Combustible Administración Municipalidad de Turrialba","Bienes","Contratación directa","Cantidad definida","11/08/2022 14:30","12/08/2022 15:00","12/08/2022 15:00","10 Días hábiles",303000,"","Contratación directa para compra de combustible en las estaciones de servicios (Artículo 2 inc. d) LCA y artículo 139 inciso n) RLCA.",305
"51","Contrato","11/08/2022 14:34","2022CD-000178-0021700001","Heredia","20220801523-01 20220801523-02 20220801523-03","20220801523-00","SERVICIOS PROFESIONALES EN INGENIERIA PARA ANALISIS ESTRUCTURAL DE LAS EDIFICACIONES DEL PALACIO DE LOS DEPORTES PARA LA MUNICIPALIDAD DE HEREDIA","Servicios","Contratación directa","Servicios","17/08/2022 08:00","22/08/2022 10:00","22/08/2022 10:00","6 Días hábiles",6750000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",401
"52","Contrato","12/08/2022 11:28","2022LA-000002-0003000001","Flores","","20220701512-00","Solicitud de contratación para el servicio de alimentación y de catering service, para actividades anuales de la Municipalidad de Flores.","Bienes/servicios","Licitación abreviada","Según demanda","12/08/2022 12:00","29/08/2022 09:00","29/08/2022 09:00","20 Días hábiles",1e+07,"",NA,408
"53","Sin definir","12/08/2022 13:22","2022RE-000002-0004611901","Perez Zeledon","20220800388-01","20220800388-00","Remate de locales comerciales ubicados en el mercado y en la Terminal de Buses de la Municipalidad de Pérez Zeledón [Sin efecto]","Bienes","Remate","Remate para dar en arrendamiento bienes inmuebles","La fecha/hora de recepción de la oferta podrá ser consultada en la información del producto de la partida detallada.","La fecha/hora de cierre de recepción de la oferta podrá ser consultada en la información del producto de la partida detallada.","La fecha y hora de la apertura del producto de la partida detallada podrá ser visualizada.","1 Días hábiles",21716664.48,"",NA,119
"54","Contrato","12/08/2022 13:31","2022CD-000122-0000700001","Grecia","","20220801684-00","La Municipalidad de Grecia requiere la compra de Banderas de Costa Rica y del Cantón de Grecia para ser usadas en Actividades Sociales y","Bienes","Contratación directa","Cantidad definida","12/08/2022 13:45","17/08/2022 09:00","17/08/2022 09:00","4 Días hábiles",718000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",203
"55","Contrato","16/08/2022 10:54","2022CD-000112-0003900001","Nicoya","","20220801726-00","Servicios profesionales para asesoría en administración de proyectos de la Municipalidad de Nicoya.","Servicios","Contratación directa","Servicios","17/08/2022 16:30","19/08/2022 09:00","19/08/2022 09:01","10 Días hábiles",5975000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",502
"56","Contrato","16/08/2022 12:46","2022CD-000180-0021700001","Heredia","","20220801846-00","CONTRATACION DE SERVICIOS PROFESIONALES PARA PRODUCCION EVENTO DE MASCARADAS EN EL CENTRO CULTURAL OMAR DENGO PARA LA MUNICIPALIDAD DE HEREDIA","Servicios","Contratación directa","Servicios","19/08/2022 07:00","22/08/2022 10:00","22/08/2022 10:00","8 Días hábiles",7500000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",401
"57","Adjudicación en firme","17/08/2022 09:58","2022LA-000018-0021700001","Heredia","","20220801983-00","CONSTRUCCION DE II ETAPA DE MURO DE CONTENCION Y RELLENO EN IMAS VARA BLANCA PARA LA MUNICIPALIDAD DE HEREDIA","Bienes","Licitación abreviada","Servicios","29/08/2022 12:00","31/08/2022 00:00","31/08/2022 10:00","20 Días hábiles",4.5e+07,"",NA,401
"58","Contrato","17/08/2022 10:29","2022CD-000113-0004100001","Santo Domingo","20220801989-01 20220801989-02","20220801989-00","Adquisición de uniformes para personal de la Municipalidad de Santo Domingo","Bienes/servicios","Contratación directa","Según demanda","18/08/2022 07:00","24/08/2022 10:00","24/08/2022 10:01","10 Días hábiles",2e+07,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",403
"59","Adjudicación en firme","17/08/2022 12:14","2022CD-000026-0015900001","San Ramon","","20220801792-00","SERVICIO PARA ACTUALIZAR Y COMPLEMENTAR EL MANUAL DE ASEGURAMIENTO DEL SISTEMA CONTROL DE CALIDAD DE LA AUDITORÍA INTERNA DE LA MUNICIPALIDAD DE SAN RAMÓN","Servicios","Contratación directa","Cantidad definida","17/08/2022 13:00","22/08/2022 13:00","22/08/2022 13:00","10 Días hábiles",2e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",202
"60","Adjudicado","17/08/2022 12:47","2022CD-000182-0021700001","Heredia","","20220802058-00","SERVICIOS PROFESIONALES PARA ACTIVIDADES DE CONMEMORACION DEL DIA REGEMEN MUNICIPAL PARA LA MUNICIPALIDAD DE HEREDIA","Servicios","Contratación directa","Servicios","19/08/2022 07:00","22/08/2022 10:00","22/08/2022 10:00","6 Días hábiles",1150000,"","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA).",401
"61","Adjudicación en firme","17/08/2022 12:54","2022CD-000125-0000700001","Grecia","","20220802060-00","LA MUNICIPALIDAD DE GRECIA REQUIERE LA COMPRA DE DOS CANOAS EN HIERRO ESMALTADO CALIBRE 26PARA USO EN LA BIBLIOTECA PUBLICA Y COMEDOR PLANTEL MUNICIPAL","Bienes/servicios","Contratación directa","Cantidad definida","17/08/2022 13:00","22/08/2022 12:00","22/08/2022 12:00","6 Días hábiles",6e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",203
"62","Contrato","17/08/2022 14:21","2022CD-000018-0004400001","Golfito","","20220801430-00","RENOVACION DE LICENCIA DE ANTI VIRUS PARA LA MUNICIPALIDAD DE GOLFITO","Servicios","Contratación directa","Cantidad definida","17/08/2022 14:30","18/08/2022 16:00","18/08/2022 16:00","30 Días naturales",1e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",607
